Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AnkiNet\AnkiNet.csproj,File,AnkiNet\AnkiNet.csproj,,,Microsoft.Data.Sqlite 7.0.10,,,,,"Microsoft.Data.Sqlite, 7.0.10  Recommendation:  Remove Microsoft.Data.Sqlite, and replace with new package Microsoft.Data.Sqlite 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AnkiNet\AnkiNet.csproj,File,AnkiNet\AnkiNet.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Business\Business.csproj,File,Business\Business.csproj,,,Microsoft.Extensions.Configuration.Abstractions 8.0.0,,,,,"Microsoft.Extensions.Configuration.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Business\Business.csproj,File,Business\Business.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Business\Business.csproj,File,Business\CoreDI.cs,15,12,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.AddMediatR(cfg =>              {                  cfg.RegisterServicesFromAssembly(typeof(IMediator).Assembly);              });
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ConsoleTests\DataPipelines.csproj,File,ConsoleTests\DataPipelines.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Domain\Domain.csproj,File,Domain\Domain.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.11,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.11  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.InMemory 8.0.11,,,,,"Microsoft.EntityFrameworkCore.InMemory, 8.0.11  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.11,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.11  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.Extensions.Configuration.FileExtensions 8.0.1,,,,,"Microsoft.Extensions.Configuration.FileExtensions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.FileExtensions, and replace with new package Microsoft.Extensions.Configuration.FileExtensions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.1,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,Microsoft.Extensions.Hosting.Abstractions 8.0.1,,,,,"Microsoft.Extensions.Hosting.Abstractions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Infrastructure.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,90,16,T:System.Net.Http.HttpContent,,,,,var json = await resp.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,71,12,T:System.Net.Http.HttpContent,,,,,var stream = await resp.Content.ReadAsStreamAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,71,12,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,var stream = await resp.Content.ReadAsStreamAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,63,46,T:System.Uri,,,,,"query.Add($""scope={Uri.EscapeDataString(scope)}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,62,31,T:System.Uri,,,,,"query.Add($""dict={Uri.EscapeDataString(string.Join(',', dicts))}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,61,43,T:System.Uri,,,,,"query.Add($""wc={Uri.EscapeDataString(wc)}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,60,42,T:System.Uri,,,,,"query.Add($""w={Uri.EscapeDataString(w)}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,36,12,T:System.Uri,,,,,_httpClient = new HttpClient              {                  BaseAddress = new Uri(baseUrl)              };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,36,12,M:System.Uri.#ctor(System.String),,,,,_httpClient = new HttpClient              {                  BaseAddress = new Uri(baseUrl)              };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,36,12,T:System.Uri,,,,,_httpClient = new HttpClient              {                  BaseAddress = new Uri(baseUrl)              };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,36,12,T:System.Uri,,,,,_httpClient = new HttpClient              {                  BaseAddress = new Uri(baseUrl)              };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,36,12,M:System.Uri.#ctor(System.String),,,,,_httpClient = new HttpClient              {                  BaseAddress = new Uri(baseUrl)              };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\OrdbokeneClient.cs,36,12,T:System.Uri,,,,,_httpClient = new HttpClient              {                  BaseAddress = new Uri(baseUrl)              };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\WiktionaryClient.cs,316,24,T:System.Net.Http.HttpContent,,,,,return await res.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\WiktionaryClient.cs,63,12,T:System.Uri,,,,,var encodedWord = Uri.EscapeDataString(word);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\DictCcClient.cs,372,20,T:System.Net.Http.HttpContent,,,,,return await res.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\DictCcClient.cs,144,16,T:System.Uri,,,,,"string url = $""https://{_config.LanguagePair}.{_config.BaseDomain}/?s={Uri.EscapeDataString(word)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\DictCcClient.cs,38,12,T:System.Uri,,,,,"var url = $""https://{_config.LanguagePair}.{_config.BaseDomain}/?s={Uri.EscapeDataString(word)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\CambridgeClient.cs,412,24,T:System.Net.Http.HttpContent,,,,,return await res.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\CambridgeClient.cs,346,12,T:System.Uri,,,,,"var url = $""{_config.BaseUrl}/dictionary/{_config.LanguagePair}/{Uri.EscapeDataString(word)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\CambridgeClient.cs,292,12,T:System.Uri,,,,,"var url = $""{_config.BaseUrl}/dictionary/{_config.LanguagePair}/{Uri.EscapeDataString(word)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\CambridgeClient.cs,176,12,T:System.Uri,,,,,"var url = $""{_config.BaseUrl}/dictionary/{_config.LanguagePair}/{Uri.EscapeDataString(word)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Lookup\CambridgeClient.cs,98,12,T:System.Uri,,,,,"var url = $""{_config.BaseUrl}/dictionary/{_config.LanguagePair}/{Uri.EscapeDataString(word)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\XpfTranscriptor.cs,139,4,T:System.Uri,,,,,private async Task<string> DownloadRulesAsync(Uri uri)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\XpfTranscriptor.cs,130,4,T:System.Uri,,,,,"public XpfTranscriptor(Uri rulesUri, string providerName = ""XpfTranscriptor"", string languageCode = ""unknown"")      {          ProviderName = providerName;          LanguageCode = languageCode;          rulesContent = DownloadRulesAsync(rulesUri).GetAwaiter().GetResult();          var rules = LoadRules(rulesContent);          Init(rules);      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\XpfTranscriptor.cs,130,4,T:System.Uri,,,,,"public XpfTranscriptor(Uri rulesUri, string providerName = ""XpfTranscriptor"", string languageCode = ""unknown"")      {          ProviderName = providerName;          LanguageCode = languageCode;          rulesContent = DownloadRulesAsync(rulesUri).GetAwaiter().GetResult();          var rules = LoadRules(rulesContent);          Init(rules);      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\ToIpaClient.cs,74,16,T:System.Net.Http.HttpContent,,,,,string html = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\ToIpaClient.cs,68,16,T:System.Uri,,,,,"string url = $""{BaseUrl}/{_langCode}/{Uri.EscapeDataString(token.ToLower())}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,181,12,T:System.Net.Http.HttpContent,,,,,var sentence = await response.Content.ReadFromJsonAsync<Sentence>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,170,12,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<SentenceSearchResult>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,154,16,T:System.Uri,,,,,"var searchQuery = useExactSearch                       ? $""={Uri.EscapeDataString(query)}""                       : Uri.EscapeDataString(query);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,154,16,T:System.Uri,,,,,"var searchQuery = useExactSearch                       ? $""={Uri.EscapeDataString(query)}""                       : Uri.EscapeDataString(query);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,150,16,T:System.Uri,,,,,"queryParams.Add($""lang={Uri.EscapeDataString(targetLanguage)}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,49,12,T:System.Uri,,,,,_http = new HttpClient { BaseAddress = new Uri(_config.BaseUrl) };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,49,12,M:System.Uri.#ctor(System.String),,,,,_http = new HttpClient { BaseAddress = new Uri(_config.BaseUrl) };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Infrastructure\Infrastructure.csproj,File,Infrastructure\Vocab\TatoebaClient.cs,49,12,T:System.Uri,,,,,_http = new HttpClient { BaseAddress = new Uri(_config.BaseUrl) };
